socio_variable,air_variable,n,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r,abs_spearman_r,pearson_fdr_p,spearman_fdr_p
pct_high_school_or_higher,avg_median_aqi_2020_2024,53,-0.44217429215843257,0.0009164791314634495,-0.3764342905515311,0.005467310923236979,0.44217429215843257,0.3764342905515311,0.011730932882732154,0.02915899159059722
pct_no_health_insurance,avg_bad_aqi_day_pct_2020_2024,53,0.4032094648210818,0.002756811033423546,0.4392222644185583,0.001000848752183919,0.4032094648210818,0.4392222644185583,0.029405984356517825,0.010675720023295136
pct_no_health_insurance,avg_aqi_90th_percentile_2020_2024,53,0.3976380651163258,0.0031936960836925453,0.41037286623989805,0.00227332766032462,0.3976380651163258,0.41037286623989805,0.025549568669540362,0.01818662128259696
pct_high_school_or_higher,avg_bad_aqi_day_pct_2020_2024,53,-0.364090470580751,0.007360352356751477,-0.2659731069453113,0.05423288064337271,0.364090470580751,0.2659731069453113,0.04710625508320945,0.09916869603359582
per_capita_income,avg_aqi_90th_percentile_2020_2024,53,-0.36379580147700596,0.007411767451824022,-0.3746396539458937,0.005712827434999527,0.36379580147700596,0.3746396539458937,0.04312301062879431,0.0281246889107669
per_capita_income,avg_median_aqi_2020_2024,53,-0.3591899726051706,0.008256993271871774,-0.34744037792243165,0.010801837080111641,0.3591899726051706,0.34744037792243165,0.0440372974499828,0.043207348320446565
per_capita_income,avg_bad_aqi_day_pct_2020_2024,53,-0.3480495546865353,0.010654958612060398,-0.453887556283888,0.0006411293082433296,0.3480495546865353,0.453887556283888,0.05245518085937427,0.010258068931893273
pct_no_health_insurance,avg_median_aqi_2020_2024,53,0.3341612793732697,0.01446631658854509,0.3127068341299124,0.02262200160161701,0.3341612793732697,0.3127068341299124,0.06172295077779238,0.057912324100139544
pct_high_school_or_higher,avg_aqi_90th_percentile_2020_2024,53,-0.326285952111379,0.017106250833461432,-0.24273645706750813,0.07989301262664769,0.326285952111379,0.24273645706750813,0.06842500333384573,0.1217417335263203
pct_bachelors_or_higher,avg_aqi_90th_percentile_2020_2024,53,-0.29044586030208686,0.03487792478571196,-0.2817685127888621,0.04095248129845385,0.29044586030208686,0.2817685127888621,0.12401039923808696,0.09037788976210505
pct_bachelors_or_higher,avg_bad_aqi_day_pct_2020_2024,53,-0.2887365686294648,0.0360115028874415,-0.3467532212055231,0.010969609674380884,0.2887365686294648,0.3467532212055231,0.12130190446296085,0.04129735406825745
mean_household_income,avg_aqi_90th_percentile_2020_2024,53,-0.2840084814523612,0.03930676311131694,-0.2456607201347751,0.07621667684626456,0.2840084814523612,0.2456607201347751,0.11979203995829926,0.11897237361368125
pct_bachelors_or_higher,avg_median_aqi_2020_2024,53,-0.2612734992193314,0.05879633350607574,-0.23650515429271454,0.08819268197063063,0.2612734992193314,0.23650515429271454,0.17104387929040216,0.12828026468455364
unemployment_rate,avg_median_aqi_2020_2024,53,0.2611261159657978,0.058944299367140886,0.30618021522976036,0.025765817470901446,0.2611261159657978,0.30618021522976036,0.16401891997813117,0.06107453030139602
poverty_rate_all_people,avg_bad_aqi_day_pct_2020_2024,53,0.26089612816576147,0.05917579530954724,0.34439516381012325,0.011562532924483483,0.26089612816576147,0.34439516381012325,0.1578021208254593,0.03894747932457594
mean_household_income,avg_bad_aqi_day_pct_2020_2024,53,-0.2551566349506449,0.06519390005616996,-0.3475315984337462,0.010779732392299084,0.2551566349506449,0.3475315984337462,0.16047729244595682,0.04599352487380943
median_household_income,avg_aqi_90th_percentile_2020_2024,53,-0.2518755231137817,0.06884836784499847,-0.22054228444727061,0.11253634806519024,0.2518755231137817,0.22054228444727061,0.14687651806933005,0.15657231035156902
poverty_rate_all_people,avg_aqi_90th_percentile_2020_2024,53,0.24954625777190848,0.07154041105170415,0.2795274012074455,0.04265530583959937,0.24954625777190848,0.2795274012074455,0.14769633249384084,0.09099798579114532
median_household_income,avg_bad_aqi_day_pct_2020_2024,53,-0.22986871644269702,0.09775807858116149,-0.32068054918120853,0.019225927295152257,0.22986871644269702,0.32068054918120853,0.19551615716232298,0.05349823247346715
poverty_rate_all_people,avg_median_aqi_2020_2024,53,0.2289004738278735,0.09921842403843308,0.24609800443035348,0.0756786267932671,0.2289004738278735,0.24609800443035348,0.19242361025635504,0.12108580286922736
unemployment_rate,avg_bad_aqi_day_pct_2020_2024,53,0.22156281218824156,0.11084058878859043,0.26890803904542643,0.05153145854444189,0.22156281218824156,0.26890803904542643,0.20267993378485108,0.09993979838922064
mean_household_income,avg_median_aqi_2020_2024,53,-0.21564844577965323,0.12094517648003827,-0.12408008854077555,0.3760463466661102,0.21564844577965323,0.12408008854077555,0.20920246742493107,0.4456845590116862
pct_bachelors_or_higher,avg_pct_days_pm25_main_pollutant_2020_2024,53,0.1994624333006403,0.1521677040715642,0.27317083011257876,0.04780339922139298,0.1994624333006403,0.27317083011257876,0.24971110411743871,0.09560679844278595
unemployment_rate,avg_aqi_90th_percentile_2020_2024,53,0.19666314612676622,0.15812211973483944,0.2427050418181052,0.07993325302558588,0.19666314612676622,0.2427050418181052,0.25299539157574313,0.11897042310784875
median_household_income,avg_median_aqi_2020_2024,53,-0.17490222805849664,0.21034153722754625,-0.10799040530133146,0.44148366489222596,0.17490222805849664,0.10799040530133146,0.3283380093308039,0.5045527598768297
pct_no_health_insurance,avg_pct_days_ozone_main_pollutant_2020_2024,53,-0.17396025267462645,0.2128468793911619,-0.07505448241585098,0.5932515445499387,0.17396025267462645,0.07505448241585098,0.32433810192938956,0.6546223939861392
mean_household_income,avg_pct_days_pm25_main_pollutant_2020_2024,53,0.16934532623248158,0.2254230213293468,0.25599258239441885,0.06428808906303042,0.16934532623248158,0.25599258239441885,0.3278880310245044,0.1112010189198364
per_capita_income,avg_pct_days_pm25_main_pollutant_2020_2024,53,0.16335780680052883,0.24249400476746316,0.22905872745041636,0.09897859134267227,0.16335780680052883,0.22905872745041636,0.3448803623359476,0.14076955213180056
pct_bachelors_or_higher,avg_pct_days_ozone_main_pollutant_2020_2024,53,-0.15181510648054672,0.2778414218343555,-0.1705482645585966,0.2220963849924762,0.15181510648054672,0.1705482645585966,0.3865619782043207,0.2961285133233016
median_household_income,avg_pct_days_pm25_main_pollutant_2020_2024,53,0.1414077735171744,0.3124939279892683,0.247122151125436,0.07443024805655159,0.1414077735171744,0.247122151125436,0.42552364662368447,0.12214194552870004
mean_household_income,avg_pct_days_ozone_main_pollutant_2020_2024,53,-0.125773557408649,0.36951496994469785,-0.14855737607546868,0.2884038688249378,0.125773557408649,0.14855737607546868,0.48263179747878904,0.3549586077845388
per_capita_income,avg_pct_days_ozone_main_pollutant_2020_2024,53,-0.11774954648582124,0.40106787541341377,-0.11246648259350764,0.42267263185499,0.11774954648582124,0.11246648259350764,0.5133668805291696,0.491837244340352
median_household_income,avg_pct_days_ozone_main_pollutant_2020_2024,53,-0.10821571219843261,0.4405258222916224,-0.1583160310728257,0.2575363787046847,0.10821571219843261,0.1583160310728257,0.5528167181698791,0.32964656474199644
pct_no_health_insurance,avg_pct_days_pm25_main_pollutant_2020_2024,53,0.10519651739826764,0.45345697402887075,0.018438574658309937,0.8957396617425948,0.10519651739826764,0.018438574658309937,0.5581008911124563,0.924634489540743
pct_high_school_or_higher,avg_pct_days_ozone_main_pollutant_2020_2024,53,0.10035761754083367,0.4746084567293705,0.14954929548026757,0.2851603623076729,0.10035761754083367,0.14954929548026757,0.57311209869207,0.35784829779786403
unemployment_rate,avg_pct_days_ozone_main_pollutant_2020_2024,53,-0.03897131255594384,0.781737558537932,-0.10796031451970918,0.441611676753836,0.03897131255594384,0.10796031451970918,0.8479865041767398,0.49584468968851764
pct_high_school_or_higher,avg_pct_days_pm25_main_pollutant_2020_2024,53,-0.022387778698694887,0.8735751727686234,-0.06282891432000763,0.6549208586745578,0.022387778698694887,0.06282891432000763,0.9165378861834738,0.6985822492528617
poverty_rate_all_people,avg_pct_days_pm25_main_pollutant_2020_2024,53,-0.017458843553061428,0.901251215992058,-0.12517138489087104,0.37182954944719904,0.017458843553061428,0.12517138489087104,0.9303238358627696,0.44900172008718375
poverty_rate_all_people,avg_pct_days_ozone_main_pollutant_2020_2024,53,-0.01066892143498975,0.9395615477499986,0.07481347070113173,0.5944420194868849,0.01066892143498975,0.07481347070113173,0.9544752231111097,0.6448184618162819
unemployment_rate,avg_pct_days_pm25_main_pollutant_2020_2024,53,0.008259990767088913,0.9531904983701753,0.015418153236959258,0.9127458253373133,0.008259990767088913,0.015418153236959258,0.9531904983701753,0.9272338543109214
